filename,Targeting_Vulnerable,Targeting_Vulnerable_matches,Religious_Pressure,Religious_Pressure_matches,High_Pressure,High_Pressure_matches
force-4028962797148XXX-6061-20251222-111640-1766395000.33196.mp3-arabic.txt,1,دين,25,"والله,الله,حلال",8,بونص
call_20251223_115426.mp3-arabic.txt,1,دين,27,"والله,الله,حلال",2,بونص
record1768468854.mp3-arabic.txt,0,,62,"والله,الله",3,الحين
20260118192735-1768753648.10595-1057-00966568454001-Outbound (1).wav-arabic.txt,0,,5,الله,1,بونص
record1765187871.mp3-arabic.txt,0,,14,"والله,الله",6,بونص
record1767105832.mp3-arabic.txt,0,,6,الله,4,"بونص,ينتهي"
CA66486215 05_12_25.mp3-arabic.txt,0,,8,"والله,الله",1,فرصة
record1767526804.mp3-arabic.txt,0,,5,"والله,الله",0,
record1766505307.mp3-arabic.txt,0,,0,,0,
recordCA55607273.mp3-arabic.txt,0,,3,"والله,الله",0,
record1768396965.mp3-arabic.txt,0,,7,الله,8,الحين
record1768836944.mp3-arabic.txt,0,,2,"والله,الله",0,
record-1753349515.4895393.mp3-arabic.txt,0,,0,,8,"بونص,الحين"
record1769337023.mp3-arabic.txt,0,,4,"والله,الله",0,
record1767623040.mp3-arabic.txt,0,,4,"والله,الله",0,
record1766317178.mp3-arabic.txt,0,,35,"والله,الله",10,"فرصة,الحين"
record1765183467.mp3-arabic.txt,0,,9,"والله,الله",0,
record1765183467.mp3-arabic (1).txt,0,,7,"والله,الله",0,
record CA55607273.mp3-arabic.txt,0,,3,"والله,الله",0,
